0.88ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:177:36	(closure)
0.87ms	<invalid loc>	func $defer()
0.87ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:26:17	public func skeleton(_ dim: Int) -> SimplicialComplex
0.86ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/Homology.swift:76:17	public func bettiNumer(i: Int) -> Int
0.84ms	<invalid loc>	get {}
0.84ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Extensions/Sequence.swift:12:10	func forAll(_ f: (Iterator.Element) -> Bool) -> Bool
0.84ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:20:14	internal init(rows: Int, cols: Int, gen: (Int, Int) -> R)
0.80ms	<invalid loc>	get {}
0.80ms	<invalid loc>	get {}
0.80ms	<invalid loc>	get {}
0.80ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:69:13	public func +<R, n, m>(a: Matrix<R, n, m>, b: Matrix<R, n, m>) -> Matrix<R, n, m> where R : Ring, n : _Int, m : _Int
0.79ms	<invalid loc>	get {}
0.79ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Abstract/EuclideanRing.swift:25:13	public func gcd<R>(_ a: R, _ b: R) -> R where R : EuclideanRing
0.78ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/FreeModule.swift:68:20	public prefix func -<A, R>(a: FreeModule<A, R>) -> FreeModule<A, R> where A : Hashable, R : Ring
0.77ms	<invalid loc>	get {}
0.77ms	<invalid loc>	get {}
0.77ms	<invalid loc>	get {}
0.76ms	<invalid loc>	get {}
0.76ms	<invalid loc>	get {}
0.76ms	<invalid loc>	get {}
0.75ms	<invalid loc>	get {}
0.74ms	<invalid loc>	get {}
0.74ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Extensions/Dictionary.swift:19:19	internal func mapPairs<OutKey, OutValue>(transform: (Key, Value) -> (OutKey, OutValue)) -> [OutKey : OutValue] where OutKey : Hashable
0.73ms	<invalid loc>	get {}
0.73ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:111:57	get {}
0.72ms	<invalid loc>	get {}
0.72ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Numbers/Rational.swift:40:13	public func +(a: RationalNumber, b: RationalNumber) -> RationalNumber
0.71ms	<invalid loc>	get {}
0.70ms	<invalid loc>	get {}
0.70ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Polynominal.swift:107:13	public func +<K>(f: Polynomial<K>, g: Polynomial<K>) -> Polynomial<K> where K : Field
0.69ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:81:13	public func -<R, n, m>(a: Matrix<R, n, m>, b: Matrix<R, n, m>) -> Matrix<R, n, m> where R : Ring, n : _Int, m : _Int
0.69ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:149:10	func submatrix<m0>(colsInRange c: CountableRange<Int>) -> Matrix<R, n, m0> where m0 : _Int
0.67ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Numbers/Integer.swift:10:24	public static func eucDiv(_ a: IntegerNumber, _ b: IntegerNumber) -> (q: IntegerNumber, r: IntegerNumber)
0.65ms	<invalid loc>	get {}
0.65ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Numbers/Rational.swift:48:13	public func -(a: RationalNumber, b: RationalNumber) -> RationalNumber
0.65ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:155:10	func submatrix<n0>(rowsInRange r: CountableRange<Int>) -> Matrix<R, n0, m> where n0 : _Int
0.64ms	<invalid loc>	get {}
0.64ms	<invalid loc>	get {}
0.64ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Quotient/QuotientRing.swift:42:13	public func *<R>(a: R, b: R) -> R where R : EuclideanQuotientRing
0.63ms	<invalid loc>	get {}
0.63ms	<invalid loc>	get {}
0.62ms	<invalid loc>	get {}
0.62ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:195:19	mutating func apply(_ s: EliminationStep<R>)
0.62ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/Simplex.swift:28:24	public static func ==(a: Vertex, b: Vertex) -> Bool
0.61ms	<invalid loc>	get {}
0.61ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Util/debug.swift:15:13	public func measure<T>(_ label: String, _ f: (Void) -> T) -> T
0.59ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:512:18	private func next() -> (row: Int, col: Int)?
0.59ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Numbers/Rational.swift:44:20	public prefix func -(a: RationalNumber) -> RationalNumber
0.58ms	<invalid loc>	init()
0.58ms	<invalid loc>	get {}
0.57ms	<invalid loc>	get {}
0.57ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Hom/FreeModHom.swift:8:16	get {}
0.56ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:73:39	get {}
0.56ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/Simplex.swift:113:24	public static func ==(a: Simplex, b: Simplex) -> Bool
0.56ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:61:9	set {}
0.54ms	<invalid loc>	init()
